,text,bbox,page
0,3/8/2024,"(149.75999450683594, 60.31312561035156, 168.45223999023438, 66.03826904296875)",1
1,3:36 PM,"(173.8800048828125, 60.31312561035156, 192.04222106933594, 66.03826904296875)",1
2,3/8/2024,"(207.24000549316406, 60.31312561035156, 225.9322509765625, 66.03826904296875)",1
3,3/19/2024 7:55 PM,"(149.75999450683594, 224.35311889648438, 192.04222106933594, 230.07826232910156)",1
4,3/19/2024,"(207.24000549316406, 224.35311889648438, 228.56886291503906, 230.07826232910156)",1
5,4/6/2024,"(149.75999450683594, 259.8731384277344, 168.45223999023438, 265.5982971191406)",1
6,3:58 AM,"(173.8800048828125, 259.8731384277344, 192.73419189453125, 265.5982971191406)",1
7,4/5/2024,"(207.24000549316406, 259.8731384277344, 225.9322509765625, 265.5982971191406)",1
8,General Location,"(262.08001708984375, 295.8731384277344, 300.647705078125, 301.5982971191406)",1
9,4/11/2024 9:12 PM,"(149.75999450683594, 315.3131103515625, 192.04222106933594, 321.03826904296875)",1
10,4/11/2024,"(207.24000549316406, 315.3131103515625, 228.56886291503906, 321.03826904296875)",1
11,4/11/2024 3:18 PM,"(149.75999450683594, 334.0331115722656, 192.04222106933594, 339.7582702636719)",1
12,4/11/2024,"(207.24000549316406, 334.0331115722656, 228.56886291503906, 339.7582702636719)",1
13,    The Department of Public Safety discloses offense and arrest information in accordance with state and federal law.                                                                                            ,"(13.559999465942383, 579.6088256835938, 353.1018981933594, 584.668212890625)",1
14,Page 2 of 2,"(353.0400085449219, 579.0731201171875, 376.9761657714844, 584.7982788085938)",1
15,002024004899,"(13.680000305175781, 333.0731201171875, 45.31914138793945, 338.79827880859375)",1
16,Theft $500 and Under,"(51.12000274658203, 332.953125, 96.27657318115234, 338.67828369140625)",1
17,Suspended,"(344.0400085449219, 332.8799133300781, 370.3744201660156, 338.6555480957031)",1
18,04/11/2024,"(382.3365478515625, 332.8799133300781, 408.28143310546875, 338.6555480957031)",1
19,3:18 PM,"(233.40000915527344, 334.0331115722656, 251.562255859375, 339.7582702636719)",1
20,Stevenson Complex  ,"(262.11297607421875, 334.0331115722656, 305.3979187011719, 339.7582702636719)",1
21,1350   Stevenson Dr N,"(262.08001708984375, 340.51312255859375, 309.168212890625, 346.23828125)",1
22,002024004879,"(13.680000305175781, 314.3531188964844, 45.31914138793945, 320.0782775878906)",1
23,Criminal Trespass To Real Property,"(51.12000274658203, 314.2331237792969, 125.14138793945312, 319.9582824707031)",1
24,Closed By ,"(344.0400085449219, 314.159912109375, 369.14166259765625, 319.935546875)",1
25,Arrest,"(344.0400085449219, 320.5199279785156, 357.86395263671875, 326.2955627441406)",1
26,04/11/2024,"(382.32000732421875, 314.159912109375, 408.22509765625, 319.935546875)",1
27,8:00 PM,"(233.40000915527344, 315.3131103515625, 251.562255859375, 321.03826904296875)",1
28,Stevenson North  ,"(262.11297607421875, 315.3131103515625, 298.6522216796875, 321.03826904296875)",1
29,1350   Stevenson Dr N,"(262.08001708984375, 321.79315185546875, 309.168212890625, 327.518310546875)",1
30,    The Department of Public Safety discloses offense and arrest information in accordance with state and federal law.                                                                                            ,"(13.559999465942383, 288.6087951660156, 353.1018981933594, 293.6682434082031)",1
31,Page 1 of 2,"(353.0400085449219, 288.0731201171875, 376.9761657714844, 293.79827880859375)",1
32,Case Number,"(13.680000305175781, 295.8731384277344, 44.096473693847656, 301.5982971191406)",1
33,Offense,"(60.05125427246094, 295.8731384277344, 76.63438415527344, 301.5982971191406)",1
34,Date / Time ,"(149.81878662109375, 295.8731384277344, 177.05169677734375, 301.5982971191406)",1
35,Reported,"(149.75999450683594, 302.3531188964844, 170.315185546875, 308.0782775878906)",1
