...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column
0,2024015945,Leaving Scene Property Damage,12/2/2024,05:13:00,12/1/2024,09:40:00,NA,Lot P Open,12/02/2024,0,Lot P,Open
1,2024015564,Contributing To Depend./Neglect,11/22/2024,07:45:00,11/22/2024,07:46:00,NA,Holmes Student Center Referred To,12/03/2024,0,Holmes Student Center,Referred To
2,2024015971,Leaving Scene Property Damage,12/3/2024,10:52:00,12/3/2024,12:00:00,"12/3/2024 Health, Wellness, & Literacy Center Open 12/03/2024",Unknown,12/03/2024,0,Unknown,NA
3,2024016094,"Tamper w/Sec, Fire, or Life Safety",12/3/2024,18:00:00,11/27/2024,13:00:00,NA,Patterson Hall East Suspended,12/03/2024,0,Patterson Hall East,Suspended
4,2024016015,Leaving Scene Property Damage,12/4/2024,10:24:00,12/4/2024,10:24:00,NA,Lot 3 Open,12/04/2024,0,Lot 3,Open
5,2024016027,Leaving Scene Property Damage,12/4/2024,01:23:00,12/4/2024,01:23:00,NA,Lot S Suspended,12/04/2024,0,Lot S,Suspended
6,2024014844,Unlawful Use Of Weapon,11/9/2024,11:27:00,11/9/2024,11:27:00,NA,Holmes Student Center Closed By,12/05/2024,0,Holmes Student Center,Closed By
7,2024014844,Unauthorized Possession or Storage of,11/9/2024,11:27:00,11/9/2024,11:27:00,NA,Closed By,12/05/2024,Unknown,,Closed By
8,2024016103,Battery,12/5/2024,11:05:00,12/5/2024,11:05:00,NA,Founders Memorial Library Closed By,12/05/2024,0,Founders Memorial Library,Closed By
9,2024016112,Harassment through Electronic,12/5/2024,02:31:00,12/5/2024,02:31:00,NA,Closed By,12/05/2024,0,,Closed By
10,2024016219,Battery,12/7/2024,02:47:00,12/7/2024,04:35:00,NA,Open,12/07/2024,0,,Open
11,2024016248,Criminal Trespass To Real Property,12/7/2024,04:55:00,12/7/2024,04:55:00,NA,Recreation Center Suspended,12/07/2024,0,Recreation Center,Suspended
12,2024007759,Criminal Damage To Property,6/20/2024,09:24:00,6/18/2024,16:30:00,NA,Music Building Suspended,12/09/2024,0,Music Building,Suspended
13,2024007759,Criminal Trespass To Real Property,6/20/2024,09:24:00,6/18/2024,16:30:00,NA,Suspended,12/09/2024,Unknown,,Suspended
14,2024016342,Battery,12/9/2024,15:57:00,11/24/2024,12:30:00,NA,Culvers 1200 DeKalb Ave,11/24/2024,0,Culvers 1200 DeKalb Ave,NA
